Exports,2015.0,03/12/2015,Thursday,United Kingdom,All,All,$,4000000.0,1541000000.0
Exports,2016.0,20/10/2016,Thursday,China,All,All,$,23000000.0,7090000000.0
Imports,2020.0,23/08/2020,Sunday,All,All,All,$,32000000.0,35045000000.0
Exports,2020.0,14/02/2020,Friday,All,Meat and edible offal,All,Tonnes,4000.0,132000.0
Exports,2016.0,28/04/2016,Thursday,United States,All,All,$,31000000.0,1923000000.0
Exports,2017.0,12/03/2017,Sunday,United States,Meat and edible offal,All,Tonnes,3000.0,58000.0
Exports,2017.0,17/04/2017,Monday,All,Meat and edible offal,All,Tonnes,5000.0,354000.0
Imports,2021.0,26/01/2021,Tuesday,China,Mechanical machinery and equip,All,$,8000000.0,175000000.0
Exports,2016.0,20/09/2016,Tuesday,Total (excluding China),All,All,$,93000000.0,28646000000.0
Imports,2015.0,09/11/2015,Monday,Australia,All,All,$,15000000.0,5294000000.0
Exports,2020.0,11/05/2020,Monday,China,Meat and edible offal,All,Tonnes,3000.0,159000.0
Exports,2019.0,20/10/2019,Sunday,All,Non-food manufactured goods,All,$,19000000.0,10120000000.0
Exports,2016.0,01/05/2016,Sunday,United Kingdom,All,All,$,2000000.0,589000000.0
Exports,2017.0,04/03/2017,Saturday,China,All,All,$,38000000.0,1814000000.0
Exports,2017.0,20/08/2017,Sunday,All,All,Air,$,9000000.0,3415000000.0
Exports,2016.0,29/12/2016,Thursday,All,All,Air,$,14000000.0,5510000000.0
Imports,2015.0,19/05/2015,Tuesday,All,Non-food manufactured goods,All,$,139000000.0,13586000000.0
Exports,2021.0,03/06/2021,Thursday,Australia,All,All,$,8000000.0,3033000000.0
Exports,2020.0,17/11/2020,Tuesday,China,All,All,$,92000000.0,13795000000.0
Exports,2017.0,01/09/2017,Friday,Total (excluding China),All,All,$,72000000.0,27830000000.0
Exports,2017.0,01/05/2017,Monday,Australia,All,All,$,37000000.0,2748000000.0
Exports,2021.0,04/08/2021,Wednesday,United States,Meat and edible offal,All,$,3000000.0,1243000000.0
Exports,2018.0,08/05/2018,Tuesday,Australia,All,All,$,23000000.0,3066000000.0
Exports,2018.0,22/07/2018,Sunday,All,All,All,$,134000000.0,32328000000.0
Imports,2020.0,13/06/2020,Saturday,Australia,All,All,$,1000000.0,2836000000.0
Exports,2017.0,31/08/2017,Thursday,Japan,All,All,$,5000000.0,2226000000.0
Exports,2020.0,06/04/2020,Monday,United States,Meat and edible offal,All,Tonnes,1000.0,69000.0
Exports,2016.0,18/03/2016,Friday,China,Meat and edible offal,All,Tonnes,2000.0,59000.0
Exports,2018.0,08/05/2018,Tuesday,All,Fruit,All,$,25000000.0,974000000.0
Exports,2020.0,01/03/2020,Sunday,Total (excluding China),All,All,$,56000000.0,7260000000.0
Exports,2016.0,05/04/2016,Tuesday,China,Meat and edible offal,All,$,1000000.0,338000000.0
Imports,2016.0,07/05/2016,Saturday,All,Electrical machinery and equip,All,$,2000000.0,1383000000.0
Exports,2021.0,02/04/2021,Friday,United Kingdom,All,All,$,2000000.0,350000000.0
Exports,2020.0,27/07/2020,Monday,East Asia (excluding China),All,All,$,73000000.0,8619000000.0
Exports,2020.0,27/05/2020,Wednesday,United Kingdom,All,All,$,11000000.0,684000000.0
Exports,2017.0,30/03/2017,Thursday,Japan,All,All,$,24000000.0,667000000.0
Exports,2021.0,23/05/2021,Sunday,East Asia (excluding China),All,All,$,87000000.0,5422000000.0
Reimports,2016.0,03/07/2016,Sunday,All,All,All,$,0.0,102000000.0
Exports,2017.0,26/06/2017,Monday,United States,All,All,$,3000000.0,2938000000.0
Reimports,2021.0,15/04/2021,Thursday,All,All,All,$,0.0,55000000.0
Exports,2016.0,04/11/2016,Friday,China,Meat and edible offal,All,Tonnes,0.0,184000.0
Exports,2016.0,12/09/2016,Monday,United States,All,All,$,1000000.0,3931000000.0
Exports,2016.0,28/07/2016,Thursday,China,All,All,$,14000000.0,5295000000.0
Exports,2020.0,04/01/2020,Saturday,All,Meat and edible offal,All,$,8000000.0,48000000.0
Exports,2021.0,17/01/2021,Sunday,Total (excluding China),All,All,$,62000000.0,1337000000.0
Exports,2020.0,11/08/2020,Tuesday,East Asia (excluding China),All,All,$,38000000.0,9125000000.0
